Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
62,Texas,Big 12,,19,12,64.2,63.3,0.87,,9.60,,-0.31,10.78,10.47,104.39,87.85,16.54,2020
63,Georgetown,Big East,,15,17,74.7,73.9,0.78,,9.60,,8.64,1.74,10.38,111.16,95.41,15.75,2020
64,South Carolina,SEC,,18,13,73.4,69.5,3.84,,6.43,,7.55,2.73,10.27,105.72,89.85,15.87,2020
65,Clemson,ACC,,16,15,66.5,64.1,2.39,,7.88,,0.43,9.84,10.26,105.31,89.40,15.91,2020
66,TCU,Big 12,,16,16,65.4,65.0,0.44,,10.09,,1.08,8.78,9.86,106.85,91.95,14.89,2020
67,Northern Iowa,MVC,,25,6,75.2,64.7,10.45,,1.45,,5.13,4.70,9.83,112.14,95.80,16.34,2020
68,UCLA,Pac-12,,19,12,69.5,67.1,2.39,,8.23,,2.98,6.85,9.83,110.64,95.17,15.47,2020
69,Oregon State,Pac-12,,18,13,71.2,67.6,3.55,,6.15,,4.24,5.45,9.70,111.51,96.47,15.04,2020
70,Virginia Commonwealth,A-10,,18,13,70.7,65.2,5.58,,4.08,,3.37,6.29,9.66,105.79,90.59,15.20,2020
71,North Carolina,ACC,,14,19,72.2,72.8,-0.61,,10.05,,7.31,2.14,9.45,107.64,93.24,14.39,2020
72,Saint Louis,A-10,,23,8,71.7,65.2,6.55,,3.07,,2.86,6.55,9.41,105.86,90.92,14.94,2020
73,Rhode Island,A-10,,21,9,73.3,68.9,4.47,,4.78,,5.34,3.91,9.25,105.25,90.79,14.46,2020
74,Iowa State,Big 12,,12,20,72.0,73.0,-0.97,,10.07,,8.03,1.07,9.10,110.46,96.76,13.70,2020
75,Nevada,MWC,,19,12,77.1,72.4,4.77,,4.14,,8.75,0.17,8.91,109.78,96.15,13.63,2020
76,Davidson,A-10,,16,14,72.7,67.5,5.23,,3.62,,4.96,3.89,8.85,112.95,98.12,14.83,2020
77,Kansas State,Big 12,,11,21,64.2,65.0,-0.78,,9.48,,0.14,8.56,8.70,103.55,89.88,13.68,2020
78,Boise State,MWC,,20,12,75.9,69.5,6.47,,4.39,,6.32,2.26,8.59,108.27,94.97,13.30,2020
79,San Francisco,WCC,,22,12,74.9,68.8,6.09,,3.84,,5.74,2.82,8.56,109.22,95.65,13.57,2020
80,Missouri,SEC,,15,16,67.1,65.2,1.97,,6.54,,0.51,8.00,8.51,104.70,91.31,13.39,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
81,Utah,Pac-12,,16,15,70.9,70.3,0.61,,7.86,,4.56,3.91,8.47,107.62,95.96,11.66,2020
82,Georgia,SEC,,16,16,75.9,75.6,0.31,,8.06,,8.73,-0.45,8.28,109.23,96.44,12.79,2020
83,Virginia Tech,ACC,,16,16,68.6,66.5,2.06,,6.16,,1.58,6.64,8.22,106.64,93.78,12.86,2020
84,Southern Methodist,AAC,,19,11,72.9,68.5,4.47,,3.50,,4.91,3.07,7.97,113.07,100.09,12.98,2020
85,Tulsa,AAC,,21,10,67.8,63.5,4.32,,3.59,,-0.87,8.78,7.92,103.51,90.22,13.29,2020
86,DePaul,Big East,,16,16,70.7,71.1,-0.38,,8.95,,3.78,3.85,7.63,103.47,91.39,12.08,2020
87,East Tennessee State,Southern,,30,4,76.3,63.1,13.15,,-1.82,,1.10,6.53,7.63,107.43,94.69,12.75,2020
88,Mississippi,SEC,,15,17,69.0,68.5,0.47,,6.90,,1.93,5.44,7.37,104.16,92.36,11.80,2020
89,North Texas,CUSA,,20,11,71.1,63.3,7.77,,1.66,,0.53,6.79,7.32,110.06,97.79,12.27,2020
90,Akron,MAC (East),,24,7,75.7,66.5,9.23,,-0.40,,4.76,2.39,7.15,107.03,95.14,11.89,2020
91,Louisiana Tech,CUSA,,22,8,74.5,63.7,10.83,,-1.48,,1.76,5.29,7.06,106.93,94.41,12.51,2020
92,Pittsburgh,ACC,,16,17,65.2,65.7,-0.52,,7.32,,-0.84,7.64,6.80,104.24,93.39,10.85,2020
93,Furman,Southern,,25,7,76.8,66.3,10.44,,-1.55,,3.58,3.22,6.79,106.38,95.32,11.05,2020
94,Nevada-Las Vegas,MWC,,17,15,72.1,70.1,2.03,,4.76,,4.47,2.32,6.79,107.62,96.83,10.79,2020
95,Duquesne,A-10,,21,9,71.5,66.4,5.10,,1.67,,2.92,3.85,6.77,106.24,94.81,11.43,2020
96,Colorado State,MWC,,20,12,75.5,72.1,3.44,,3.96,,7.08,-0.38,6.70,108.90,98.09,10.81,2020
97,Wake Forest,ACC,,13,18,73.4,74.9,-1.45,,8.14,,7.76,-1.06,6.69,108.44,97.65,10.79,2020
98,Miami (FL),ACC,,15,16,71.2,73.2,-2.03,,8.66,,6.15,0.47,6.63,107.91,97.29,10.63,2020
99,Yale,Ivy,,23,7,76.3,65.1,11.17,,-1.51,,4.05,2.58,6.63,105.97,95.07,10.90,2020
100,Temple,AAC,,14,17,68.3,67.9,0.42,,6.17,,1.88,4.71,6.59,100.61,90.29,10.33,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
101,Vermont,AEC,,26,7,71.5,59.5,12.06,,-4.84,,-0.50,6.57,6.07,104.63,94.04,10.58,2020
102,UNC Greensboro,Southern,,23,9,74.1,63.1,11.00,,-1.48,,0.36,5.56,5.92,102.15,92.11,10.04,2020
103,Northern Colorado,Big Sky,,22,9,74.3,62.7,11.55,,-2.80,,1.51,4.21,5.72,108.65,98.08,10.57,2020
104,Loyola (IL),MVC,,21,11,68.7,62.7,5.97,,0.54,,-1.42,7.12,5.70,104.16,93.97,10.19,2020
105,Texas State,Sun Belt,,21,11,73.1,64.3,8.78,,-0.28,,-0.16,5.58,5.42,105.29,95.81,9.48,2020
106,Northwestern,Big Ten,,8,23,64.9,70.1,-5.16,,10.51,,1.19,4.15,5.35,105.55,96.85,8.70,2020
107,Bradley,MVC,,23,11,71.7,65.9,5.82,,0.33,,2.11,3.21,5.33,106.56,97.36,9.21,2020
108,Liberty,A-Sun,,30,4,68.6,53.8,14.76,,-7.26,,-5.52,10.67,5.15,105.12,94.16,10.97,2020
109,South Florida,AAC,,14,17,62.7,62.7,-0.03,,5.18,,-4.02,9.16,5.15,101.63,92.78,8.85,2020
110,UCF,AAC,,16,14,68.9,67.9,1.00,,4.13,,1.02,4.11,5.13,103.39,94.79,8.60,2020
111,Washington State,Pac-12,,16,16,69.8,69.7,0.19,,4.94,,3.14,1.99,5.13,102.22,93.72,8.50,2020
112,Texas A&M,SEC,,16,14,63.1,65.2,-2.03,,6.96,,-4.23,9.16,4.93,100.95,92.89,8.07,2020
113,Belmont,OVC,,26,7,79.6,67.9,11.70,,-6.23,,4.47,-0.17,4.30,104.93,97.84,7.08,2020
114,Western Kentucky,CUSA,,20,10,76.6,72.0,4.57,,0.96,,5.76,-1.56,4.20,108.31,100.84,7.47,2020
115,Ball State,MAC (West),,18,13,69.5,62.5,7.00,,-1.65,,-2.50,6.62,4.12,99.39,91.61,7.78,2020
116,New Mexico State,WAC,,25,6,71.4,59.7,11.68,,-4.24,,-2.61,6.72,4.11,106.12,97.20,8.92,2020
117,Stephen F. Austin,Southland,,28,3,80.6,67.0,13.61,,-6.89,,3.54,0.50,4.04,102.44,95.75,6.70,2020
118,Pacific,WCC,,23,10,69.7,64.5,5.21,,0.19,,-1.51,5.32,3.81,103.84,96.73,7.11,2020
119,UC Irvine,Big West,,21,11,74.0,65.2,8.75,,-2.18,,0.39,3.34,3.73,103.12,96.25,6.88,2020
120,Kent State,MAC (East),,20,12,76.3,70.0,6.28,,-0.72,,4.59,-0.91,3.68,105.81,99.35,6.46,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
121,Missouri State,MVC,,16,17,70.6,67.8,2.79,,0.71,,0.73,2.77,3.50,103.81,97.41,6.41,2020
122,New Mexico,MWC,,19,14,76.7,75.2,1.45,,2.63,,6.11,-2.64,3.47,105.51,98.91,6.60,2020
123,Indiana State,MVC,,18,12,68.4,66.8,1.60,,1.81,,0.30,2.92,3.22,105.60,99.16,6.44,2020
124,California,Pac-12,,14,18,63.2,69.1,-5.84,,9.05,,-2.43,5.63,3.20,101.74,96.35,5.39,2020
125,Vanderbilt,SEC,,11,21,71.7,75.0,-3.25,,6.41,,4.55,-1.39,3.16,105.80,100.12,5.68,2020
126,St. Bonaventure,A-10,,19,12,69.1,66.9,2.26,,1.62,,0.10,3.02,3.12,105.07,98.62,6.45,2020
127,Georgia State,Sun Belt,,19,13,78.1,72.2,5.88,,0.13,,6.95,-3.86,3.09,104.25,98.49,5.75,2020
128,Harvard,Ivy,,21,8,72.9,66.5,6.41,,-1.55,,2.08,0.98,3.06,103.28,97.33,5.95,2020
129,Hofstra,CAA,,26,8,76.4,68.4,7.94,,-3.85,,3.19,-0.14,3.06,107.08,101.13,5.95,2020
130,Pepperdine,WCC,,16,16,76.3,77.1,-0.78,,3.60,,7.52,-4.70,2.82,107.15,101.82,5.33,2020
131,UT Arlington,Sun Belt,,14,18,70.6,68.4,2.19,,2.13,,-0.21,2.97,2.76,101.01,95.32,5.69,2020
132,Wright State,Horizon,,25,7,80.6,70.8,9.88,,-6.21,,5.73,-3.27,2.46,102.68,98.32,4.37,2020
133,Nebraska,Big Ten,,7,25,69.8,78.1,-8.25,,10.66,,6.39,-3.99,2.41,102.74,97.25,5.50,2020
134,South Dakota State,Summit,,22,10,77.9,70.5,7.41,,-4.24,,4.11,-1.81,2.29,107.22,102.10,5.13,2020
135,Little Rock,Sun Belt,,21,10,73.2,69.4,3.81,,-1.07,,2.17,0.10,2.27,104.07,99.70,4.37,2020
136,North Dakota State,Summit,,25,8,74.8,66.2,8.61,,-3.94,,-0.50,2.69,2.19,105.06,99.94,5.11,2020
137,Oral Roberts,Summit,,17,14,80.2,73.1,7.10,,-1.58,,6.52,-4.36,2.16,107.49,103.04,4.45,2020
138,Fresno State,MWC,,11,19,69.2,68.9,0.23,,3.39,,-1.21,3.28,2.08,105.20,100.72,4.48,2020
139,Eastern Washington,Big Sky,,23,8,80.9,72.9,8.06,,-1.81,,6.88,-4.87,2.01,103.59,99.74,3.85,2020
140,Murray State,OVC,,23,9,75.4,64.7,10.72,,-6.08,,0.45,1.53,1.99,101.69,97.47,4.23,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
141,Santa Clara,WCC,,20,13,75.7,71.7,4.03,,0.63,,3.37,-1.42,1.95,102.18,97.77,4.41,2020
142,Boston College,ACC,,13,19,64.6,70.6,-6.03,,7.86,,-1.02,2.85,1.82,99.13,95.48,3.65,2020
143,Buffalo,MAC (East),,20,12,78.6,75.8,2.84,,0.06,,7.38,-5.59,1.80,103.07,99.32,3.75,2020
144,Marshall,CUSA,,17,15,75.9,73.1,2.81,,-0.05,,5.35,-3.66,1.70,100.09,96.22,3.87,2020
