game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
401604273,20231108,2024,2,False,False,468,Chace Athletic Center,True,Bryant Bulldogs,2803,140,99,Fisher College Eagles,524,79,99,home,219,61
401577559,20231108,2024,2,False,False,0,Skip Chappelle Court in Memorial Gymnasium,True,Maine Black Bears,311,111,99,Maine-Presque Isle Owls,2361,59,99,home,170,52
401600054,20231108,2024,2,False,False,1002,Winthrop Coliseum,True,Winthrop Eagles,2737,98,99,Brevard Tornados,2913,44,99,home,142,54
401598575,20231108,2024,2,False,False,441,Newman Arena,True,Cornell Big Red,172,107,99,SUNY Morrisville Mustangs,108789,86,99,home,193,21
401597950,20231108,2024,2,False,False,1667,Ellis T. Johnson Arena,True,Morehead State Eagles,2413,96,99,Shawnee State Bears,2893,40,99,home,136,56
401597373,20231108,2024,2,False,False,2239,Bob Carpenter Center,True,Delaware Blue Hens,48,101,99,Goldey-Beacom Lightning,108859,68,99,home,169,33
401594170,20231108,2024,2,False,False,1593,Wolstein Center,True,Cleveland State Vikings,325,102,99,Defiance Yellow Jackets,190,41,99,home,143,61
401591581,20231108,2024,2,False,False,4003,Moody Coliseum (Dallas),True,SMU Mustangs,2567,90,99,Western Illinois Leathernecks,2710,53,99,home,143,37
401589361,20231108,2024,2,False,False,1571,The Palestra,True,Pennsylvania Quakers,219,80,99,Bucknell Bison,2083,61,99,home,141,19
401587224,20231108,2024,2,False,False,570,Bogota Savings Bank Center,True,Fairleigh Dickinson Knights,161,107,99,Penn State (Brandywine) Lions,111199,63,99,home,170,44
401586910,20231108,2024,2,False,False,19080,JMA Wireless Dome,True,Syracuse Orange,183,89,99,Canisius Golden Griffins,2099,77,99,home,166,12
401574604,20231108,2024,2,False,False,455,Lundholm Gymnasium,True,New Hampshire Wildcats,160,115,99,Curry College Colonels,40,38,99,home,153,77
401574578,20231108,2024,2,False,False,4744,Convocation Center (OH),True,Ohio Bobcats,195,88,99,Troy Trojans,2653,70,99,home,158,18
401602187,20231108,2024,2,False,False,1234,Davey L. Whitney Complex,True,Alcorn State Braves,2016,70,99,Xavier (LA) Gold Nuggets,2753,62,99,home,132,8
401600250,20231108,2024,2,False,False,3189,Chaifetz Arena,True,Saint Louis Billikens,139,102,99,Lincoln (MO) Blue Tigers,2876,66,99,home,168,36
401597995,20231108,2024,2,False,False,1032,Scheels Center,True,North Dakota State Bison,2449,93,99,Mount Marty College Lancers,573,66,99,home,159,27
401597885,20231108,2024,2,False,False,12930,United Supermarkets Arena,True,Texas Tech Red Raiders,2641,73,99,East Texas A&M Lions,2837,46,99,home,119,27
401594010,20231108,2024,2,False,False,917,Bank of Colorado Arena,True,Northern Colorado Bears,2458,81,99,Northern New Mexico Eagles,3141,60,99,home,141,21
401593929,20231108,2024,2,False,False,3021,Knapp Center,True,Drake Bulldogs,2181,85,99,Lipscomb Bisons,288,70,99,home,155,15
401590206,20231108,2024,2,False,False,2101,Frost Arena,True,South Dakota State Jackrabbits,2571,83,99,Dakota Wesleyan Tigers,513,55,99,home,138,28
401587233,20231108,2024,2,False,False,1455,Groniger Arena,True,Eastern Illinois Panthers,2197,91,99,Monmouth (IL) Fighting Scots,2919,45,99,home,136,46
401604276,20231108,2024,2,False,False,4507,Pan American Center,True,New Mexico State Aggies,166,84,99,Sul Ross State Lobos,2834,49,99,home,133,35
401583837,20231108,2024,2,False,False,1007,Chiles Center,True,Portland Pilots,2501,89,99,Lewis & Clark Pioneers,2333,72,99,home,161,17
401597957,20231108,2024,2,True,False,5361,Wintrust Arena,True,Mississippi State Bulldogs,344,71,99,Arizona State Sun Devils,9,56,99,home,127,15
401598015,20231108,2024,2,False,False,999,Redhawk Center,True,Seattle U Redhawks,2547,71,99,Prairie View A&M Panthers,2504,60,99,home,131,11
401597296,20231108,2024,2,False,False,5573,Thomas & Mack Center,True,UNLV Rebels,2439,71,99,Southern Jaguars,2582,85,99,away,156,14
401583813,20231108,2024,2,False,False,422,Jenny Craig Pavilion,True,San Diego Toreros,301,87,99,Jackson State Tigers,2296,61,99,home,148,26
401579108,20231108,2024,2,False,False,1628,Leavey Center,True,Santa Clara Broncos,2541,77,99,Utah Tech Trailblazers,3101,69,99,home,146,8
401577591,20231107,2024,2,False,False,16117,CHI Health Center Omaha,True,Creighton Bluejays,156,105,8,Florida A&M Rattlers,50,54,99,home,159,51
401583794,20231107,2024,2,True,False,3028,Sanford Pentagon,True,Baylor Bears,239,88,20,Auburn Tigers,2,82,99,home,170,6
401597429,20231107,2024,2,False,False,2107,Pete Mathews Coliseum,True,Jacksonville State Gamecocks,55,91,99,Brescia Bearcats,2855,41,99,home,132,50
401593769,20231107,2024,2,False,False,1641,Tom Gola Arena,True,La Salle Explorers,2325,67,99,Drexel Dragons,2182,61,99,home,128,6
